Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-08-17,1.3107001781463623,0.010767427282217853,0.012883691116107368,26.383727224484375,27.162677789915012,16.116530490877,Bull,Quiet,Bull Quiet,proceed,half
2020-08-18,1.3107877969741821,0.010951693111721126,0.012831846192559117,27.196764717533185,32.571251083412044,14.713552822477102,Bull,Quiet,Bull Quiet,proceed,half
2020-08-19,1.325398564338684,0.011308516654430743,0.012793217890038852,28.12238731616024,30.988046530610994,13.231482078297928,Bull,Quiet,Bull Quiet,proceed,half
2020-08-20,1.311079978942871,0.011842883251236018,0.012766277016874716,27.560417316623493,27.476265866015257,18.220478368576458,Bull,Quiet,Bull Quiet,proceed,half
2020-08-21,1.3220343589782715,0.012359993520779253,0.012741756061840297,27.494487299338317,27.983468275302023,16.21116762488246,Bull,Quiet,Bull Quiet,proceed,half
2020-08-24,1.3094146251678467,0.012589930013832374,0.012723783755704557,27.433266569002082,25.510077841641994,14.778302101303584,Bull,Quiet,Bull Quiet,proceed,half
2020-08-25,1.307138204574585,0.01248186689815493,0.012697436849081967,27.54040321973489,25.112007603062008,13.841514935560713,Bull,Quiet,Bull Quiet,proceed,half
2020-08-26,1.3152183294296265,0.012598168430314482,0.01267548377439081,27.9557334570465,25.48080063785245,12.734182776827751,Bull,Quiet,Bull Quiet,proceed,half
2020-08-27,1.3219819068908691,0.012609892693915416,0.01264754942245504,28.803726084233464,27.452272233793895,11.813604170080612,Bull,Quiet,Bull Quiet,proceed,half
2020-08-28,1.3199577331542969,0.012890388348333882,0.012616397529438755,30.03337142384111,29.02745296236275,10.73107230607168,Bull,Volatile,Bull Volatile,proceed,active
2020-08-31,1.3356484174728394,0.013352354872952402,0.012598309961439817,31.391123838486557,28.13596301513893,9.619811740869082,Bull,Volatile,Bull Volatile,proceed,active
2020-09-01,1.3364516496658325,0.013286034735433865,0.012573045053458031,33.08090907995759,30.964422360607152,8.97727176116643,Bull,Volatile,Bull Volatile,proceed,active
2020-09-02,1.339943766593933,0.013166192467801905,0.012548161422843424,33.61450542906899,29.014392606956072,12.272171492899352,Bull,Volatile,Bull Volatile,proceed,active
2020-09-03,1.335131287574768,0.01331485473295839,0.012528076809307715,33.59299612148797,26.64112540785797,13.326545327791647,Bull,Volatile,Bull Volatile,proceed,active
2020-09-04,1.3262248039245605,0.013601688488147292,0.012517093330734554,32.70992200537674,24.216506520413997,15.734850092855604,Bull,Volatile,Bull Volatile,proceed,active
2020-09-07,1.3245735168457031,0.01348175344507476,0.012499455726677221,31.481313470331724,22.686800512311788,16.5945047639673,Bull,Volatile,Bull Volatile,proceed,active
2020-09-08,1.3162224292755127,0.01418693476441896,0.012497580613049904,29.44236536030458,20.01918429358494,21.230285188471367,Bear,Volatile,Bear Volatile,proceed,active
2020-09-09,1.2968486547470093,0.015137597901341568,0.012511289300634004,28.526998506524237,17.421811123124083,24.370757360059255,Bear,Volatile,Bear Volatile,proceed,active
2020-09-10,1.2999167442321777,0.015409919816491452,0.012531020809318052,27.974223377407093,15.891511396841564,24.23256280309314,Bear,Volatile,Bear Volatile,proceed,active
